{'cpu': 14.7, 'memory': 61.6, 'disk': 10.8}
{'cpu': 13.7, 'memory': 61.4, 'disk': 10.8}
{'cpu': 16.7, 'memory': 61.6, 'disk': 10.8}
{'cpu': 13.2, 'memory': 61.2, 'disk': 10.8}
{'cpu': 13.8, 'memory': 61.3, 'disk': 10.8}
{'cpu': 13.2, 'memory': 61.3, 'disk': 10.8}
{'cpu': 16.2, 'memory': 61.5, 'disk': 10.8}
{'cpu': 19.3, 'memory': 62.0, 'disk': 10.8}
{'cpu': 23.4, 'memory': 62.2, 'disk': 10.8}
{'cpu': 25.7, 'memory': 62.2, 'disk': 10.8}
{'cpu': 15.7, 'memory': 61.9, 'disk': 10.8}
{'cpu': 18.0, 'memory': 62.0, 'disk': 10.8}
{'cpu': 19.9, 'memory': 62.8, 'disk': 10.8}
{'cpu': 30.2, 'memory': 61.3, 'disk': 10.8}
{'cpu': 22.8, 'memory': 61.7, 'disk': 10.8}
{'cpu': 21.7, 'memory': 61.9, 'disk': 10.8}
{'cpu': 16.9, 'memory': 61.5, 'disk': 10.8}
{'cpu': 19.3, 'memory': 62.1, 'disk': 10.8}
{'cpu': 20.5, 'memory': 62.0, 'disk': 10.8}
{'cpu': 19.1, 'memory': 61.6, 'disk': 10.8}
{'cpu': 19.1, 'memory': 61.7, 'disk': 10.8}
{'cpu': 17.0, 'memory': 62.0, 'disk': 10.8}
{'cpu': 18.3, 'memory': 61.8, 'disk': 10.8}
{'cpu': 14.4, 'memory': 61.4, 'disk': 10.8}
{'cpu': 17.4, 'memory': 61.5, 'disk': 10.8}
{'cpu': 48.7, 'memory': 62.5, 'disk': 10.8}
{'cpu': 15.3, 'memory': 62.4, 'disk': 10.8}
{'cpu': 17.0, 'memory': 62.4, 'disk': 10.8}
{'cpu': 11.9, 'memory': 62.2, 'disk': 10.8}
{'cpu': 6.9, 'memory': 61.7, 'disk': 10.8}
{'cpu': 10.4, 'memory': 61.7, 'disk': 10.8}
{'cpu': 20.1, 'memory': 62.5, 'disk': 10.8}
{'cpu': 17.3, 'memory': 61.8, 'disk': 10.8}
{'cpu': 18.1, 'memory': 62.1, 'disk': 10.8}
{'cpu': 21.6, 'memory': 62.7, 'disk': 10.8}
{'cpu': 12.2, 'memory': 62.0, 'disk': 10.8}
{'cpu': 20.4, 'memory': 62.0, 'disk': 10.8}
{'cpu': 22.8, 'memory': 62.2, 'disk': 10.8}
{'cpu': 16.0, 'memory': 62.1, 'disk': 10.8}
{'cpu': 18.3, 'memory': 63.0, 'disk': 10.8}
{'cpu': 14.7, 'memory': 62.0, 'disk': 10.8}
{'cpu': 12.3, 'memory': 61.9, 'disk': 10.8}
{'cpu': 16.2, 'memory': 62.0, 'disk': 10.8}
{'cpu': 13.5, 'memory': 61.9, 'disk': 10.8}
{'cpu': 15.0, 'memory': 62.0, 'disk': 10.8}
{'cpu': 16.2, 'memory': 62.0, 'disk': 10.8}
{'cpu': 13.0, 'memory': 62.1, 'disk': 10.8}
{'cpu': 16.3, 'memory': 62.7, 'disk': 10.8}
{'cpu': 20.6, 'memory': 62.0, 'disk': 10.8}
{'cpu': 23.3, 'memory': 62.2, 'disk': 10.8}
{'cpu': 16.4, 'memory': 62.1, 'disk': 10.8}
{'cpu': 15.7, 'memory': 62.5, 'disk': 10.8}
{'cpu': 14.2, 'memory': 62.6, 'disk': 10.8}
{'cpu': 16.3, 'memory': 62.3, 'disk': 10.8}
{'cpu': 13.6, 'memory': 62.1, 'disk': 10.8}
{'cpu': 11.1, 'memory': 62.0, 'disk': 10.8}
{'cpu': 7.8, 'memory': 61.9, 'disk': 10.8}
{'cpu': 8.4, 'memory': 61.9, 'disk': 10.8}
{'cpu': 8.2, 'memory': 61.9, 'disk': 10.8}
{'cpu': 7.9, 'memory': 61.9, 'disk': 10.8}
{'cpu': 8.3, 'memory': 61.9, 'disk': 10.8}
{'cpu': 10.0, 'memory': 61.9, 'disk': 10.8}
{'cpu': 9.4, 'memory': 61.9, 'disk': 10.8}
{'cpu': 9.1, 'memory': 61.9, 'disk': 10.8}
{'cpu': 7.9, 'memory': 61.9, 'disk': 10.8}
{'cpu': 6.7, 'memory': 61.9, 'disk': 10.8}
{'cpu': 12.9, 'memory': 63.8, 'disk': 10.8}
{'cpu': 11.6, 'memory': 62.8, 'disk': 10.8}
{'cpu': 13.7, 'memory': 62.7, 'disk': 10.8}
{'cpu': 13.7, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.2, 'memory': 62.8, 'disk': 10.8}
{'cpu': 12.0, 'memory': 62.8, 'disk': 10.8}
{'cpu': 18.2, 'memory': 62.8, 'disk': 10.8}
{'cpu': 11.9, 'memory': 62.8, 'disk': 10.8}
{'cpu': 15.6, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.4, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.3, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.5, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.1, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.8, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.2, 'memory': 62.9, 'disk': 10.8}
{'cpu': 14.6, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.1, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.9, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.1, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.6, 'memory': 62.9, 'disk': 10.8}
{'cpu': 13.2, 'memory': 62.9, 'disk': 10.8}
{'cpu': 13.4, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.1, 'memory': 62.9, 'disk': 10.8}
{'cpu': 14.2, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.4, 'memory': 62.9, 'disk': 10.8}
{'cpu': 13.3, 'memory': 62.9, 'disk': 10.8}
{'cpu': 13.0, 'memory': 62.9, 'disk': 10.8}
{'cpu': 14.2, 'memory': 62.9, 'disk': 10.8}
{'cpu': 13.0, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.1, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.0, 'memory': 62.9, 'disk': 10.8}
{'cpu': 23.1, 'memory': 62.7, 'disk': 10.8}
{'cpu': 12.5, 'memory': 62.7, 'disk': 10.8}
{'cpu': 12.4, 'memory': 62.7, 'disk': 10.8}
{'cpu': 14.2, 'memory': 62.8, 'disk': 10.8}
{'cpu': 12.4, 'memory': 62.7, 'disk': 10.8}
{'cpu': 12.1, 'memory': 62.7, 'disk': 10.8}
{'cpu': 12.9, 'memory': 62.7, 'disk': 10.8}
{'cpu': 13.9, 'memory': 62.8, 'disk': 10.8}
{'cpu': 13.6, 'memory': 62.8, 'disk': 10.8}
{'cpu': 13.2, 'memory': 62.8, 'disk': 10.8}
{'cpu': 13.9, 'memory': 62.8, 'disk': 10.8}
{'cpu': 13.0, 'memory': 62.7, 'disk': 10.8}
{'cpu': 13.2, 'memory': 62.8, 'disk': 10.8}
{'cpu': 19.5, 'memory': 62.8, 'disk': 10.8}
{'cpu': 12.0, 'memory': 62.8, 'disk': 10.8}
{'cpu': 13.2, 'memory': 62.8, 'disk': 10.8}
{'cpu': 13.0, 'memory': 62.8, 'disk': 10.8}
{'cpu': 13.3, 'memory': 62.8, 'disk': 10.8}
{'cpu': 14.7, 'memory': 62.8, 'disk': 10.8}
{'cpu': 12.8, 'memory': 62.7, 'disk': 10.8}
{'cpu': 13.6, 'memory': 62.8, 'disk': 10.8}
{'cpu': 11.7, 'memory': 62.7, 'disk': 10.8}
{'cpu': 12.8, 'memory': 62.7, 'disk': 10.8}
{'cpu': 11.8, 'memory': 62.7, 'disk': 10.8}
{'cpu': 14.8, 'memory': 62.7, 'disk': 10.8}
{'cpu': 11.6, 'memory': 62.7, 'disk': 10.8}
